label,gloss,participant,video_file,split
STOP,STOP,P49,564285386999722-STOP.mp4,test
WHAT,WHAT1,P49,0902884729181257-WHAT 2.mp4,test
WHAT,WHAT2,P48,805120769524823-WHAT 1.mp4,test
WAIT,WAIT,P48,7918796234967189-WAIT.mp4,test
INTERPRETER,INTERPRETER,P48,22886884557885012-INTERPRETER.mp4,test
DEAF,DEAF2,P48,40546392089559546-DEAF 2.mp4,test
HOW,HOW2,P48,7290597714370646-HOW 2.mp4,test
STOP,STOP,P48,19109474570600948-STOP.mp4,test
WHAT,WHAT1,P48,7084601978683813-WHAT 2.mp4,test
WHO,WHO,P48,9790302153060182-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P48,2374155228317818-UNDERSTAND.mp4,test
NAME,NAME,P48,7459516150734173-NAME.mp4,test
PAIN,PAIN,P48,9136737589481181-PAIN.mp4,test
WHY,WHY,P48,6217493782065597-WHY.mp4,test
HELLO,HELLO,P48,5339916560192981-HELLO.mp4,test
HOW,HOW1,P48,8032623168123776-HOW.mp4,test
HELP,HELP,P48,7353034835882497-HELP.mp4,test
BATHROOM,BATHROOM,P48,8138931441990784-BATHROOM.mp4,test
WHAT,WHAT2,P22,4880162825887451-WHAT 1.mp4,test
WATER,WATER,P22,6252432727581858-WATER.mp4,test
HELP,HELP,P22,3982436455452034-HELP.mp4,test
EAT,EAT1,P22,5035301373430681-EAT.mp4,test
HUNGRY,HUNGRY,P22,2394165119190521-HUNGRY.mp4,test
SICK,SICK,P22,40883500861073974-SICK.mp4,test
MORE,MORE,P22,6030819884347467-MORE.mp4,test
HURT,HURT,P22,3640743046469448-HURT.mp4,test
DRINK,DRINK2,P17,2980803225080717-DRINK 2.mp4,test
WAIT,WAIT,P17,384440946378765-WAIT.mp4,test
WATER,WATER,P17,6604106363350253-WATER.mp4,test
HELP,HELP,P17,032534532433647456-HELP.mp4,test
EAT,EAT1,P17,7769434916738955-EAT.mp4,test
BATHROOM,BATHROOM,P9,722023170046934-BATHROOM.mp4,test
EAT,EAT2,P9,6221005899165424-EAT 2.mp4,test
SORRY,SORRY,P9,7585555932220547-SORRY.mp4,test
HUNGRY,HUNGRY,P9,5745630297695972-HUNGRY.mp4,test
PLEASE,PLEASE,P9,583219774394824-PLEASE.mp4,test
WHERE,WHERE,P9,5194308575650113-WHERE.mp4,test
DRINK,DRINK1,P9,06473784191201326-DRINK.mp4,test
SICK,SICK,P9,7932494857931853-SICK.mp4,test
MORE,MORE,P9,15807643698153884-MORE.mp4,test
WHO,WHO,P9,803567742919048-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P9,5169212541197368-UNDERSTAND.mp4,test
NAME,NAME,P9,38747687874121217-NAME.mp4,test
PAIN,PAIN,P9,09233581892673359-PAIN.mp4,test
WHY,WHY,P9,5584013314005547-WHY.mp4,test
HELLO,HELLO,P9,7472491282176557-HELLO.mp4,test
HURT,HURT,P9,14205958632175242-HURT.mp4,test
THANKYOU,THANKYOU,P22,16270426237316316-THANK YOU.mp4,test
THANKYOU,THANKYOU,P9,6788237257016723-THANK YOU.mp4,test
INTERPRETER,INTERPRETER,P22,07890113988148229-INTERPRETER.mp4,test
INTERPRETER,INTERPRETER,P9,10872535872109146-INTERPRETER.mp4,test
STOP,STOP,P9,5241068902608812-STOP.mp4,test
WHAT,WHAT1,P9,16203881271680576-WHAT 2.mp4,test
YES,YES,P22,05574938180658928-YES.mp4,test
DRINK,DRINK2,P22,8595649055844512-DRINK 2.mp4,test
WAIT,WAIT,P22,3372774069388451-WAIT.mp4,test
BATHROOM,BATHROOM,P22,4174529910508753-BATHROOM.mp4,test
WHAT,WHAT2,P17,22798502572928414-WHAT 1.mp4,test
EAT,EAT2,P22,7510361706596533-EAT 2.mp4,test
SORRY,SORRY,P22,010369524824967558-SORRY.mp4,test
PLEASE,PLEASE,P22,7328260605453549-PLEASE.mp4,test
WHERE,WHERE,P22,41673665309194896-WHERE.mp4,test
DRINK,DRINK1,P22,2505702369833467-DRINK.mp4,test
WHO,WHO,P22,06061818404678454-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P22,27832701315476815-UNDERSTAND.mp4,test
NAME,NAME,P22,6398020473925876-NAME.mp4,test
PAIN,PAIN,P22,374792426110897-PAIN.mp4,test
WHY,WHY,P22,015395985479345287-WHY.mp4,test
HELLO,HELLO,P22,5911924789322505-HELLO.mp4,test
WATER,WATER,P9,5521352697044284-WATER.mp4,test
HELP,HELP,P9,5043430847938863-HELP.mp4,test
EAT,EAT1,P9,008533489727754251-EAT.mp4,test
DEAF,DEAF1,P9,34251957180053694-DEAF.mp4,test
NO,NO,P22,6645554412949413-NO.mp4,test
NO,NO,P9,5328649685588343-NO.mp4,test
BYE,BYE,P9,4578901677582461-BYE.mp4,test
HOW,HOW1,P9,6119825081396184-HOW.mp4,test
DEAF,DEAF2,P9,35836254848045535-DEAF 2.mp4,test
HOW,HOW2,P9,9128074318856931-HOW 2.mp4,test
WHAT,WHAT2,P9,5754797022070959-WHAT 1.mp4,test
YES,YES,P9,7199652013477922-YES.mp4,test
DRINK,DRINK2,P9,715190503593329-DRINK 2.mp4,test
DEAF,DEAF1,P22,4589398793876327-DEAF.mp4,test
BYE,BYE,P22,32542343160867326-BYE.mp4,test
WAIT,WAIT,P9,6462406278843633-WAIT.mp4,test
BATHROOM,BATHROOM,P9,3888732480052579-BATHROOM.mp4,test
EAT,EAT2,P9,9520172548388828-EAT 2.mp4,test
PLEASE,PLEASE,P9,8166852609962443-PLEASE.mp4,test
WHERE,WHERE,P9,12174913678763644-WHERE.mp4,test
DRINK,DRINK1,P9,40358209943047574-DRINK.mp4,test
SICK,SICK,P9,5515681081506727-SICK.mp4,test
MORE,MORE,P9,8473421461490096-MORE.mp4,test
WHO,WHO,P9,6339230507709075-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P9,1376861841044581-UNDERSTAND.mp4,test
NAME,NAME,P9,5222576863044399-NAME.mp4,test
PAIN,PAIN,P9,37134269046205026-PAIN.mp4,test
WHY,WHY,P9,1861131167759893-WHY.mp4,test
HELLO,HELLO,P9,5018242902938022-HELLO.mp4,test
DEAF,DEAF2,P22,34347944802774855-DEAF 2.mp4,test
HOW,HOW2,P22,6748698769153474-HOW 2.mp4,test
HOW,HOW1,P22,12045635816655964-HOW.mp4,test
NO,NO,P17,7931075492698656-NO.mp4,test
SORRY,SORRY,P17,8594289353554898-SORRY.mp4,test
HUNGRY,HUNGRY,P17,5801976577083523-HUNGRY.mp4,test
HURT,HURT,P17,45526766274740016-HURT.mp4,test
DEAF,DEAF1,P17,9742883685495938-DEAF.mp4,test
DEAF,DEAF2,P17,16303248408815674-DEAF 2.mp4,test
HOW,HOW2,P17,25866202861571086-HOW 2.mp4,test
STOP,STOP,P17,5495256812953944-STOP.mp4,test
WHAT,WHAT1,P17,46005351531190786-WHAT 2.mp4,test
YES,YES,P17,9782863224987515-YES.mp4,test
BATHROOM,BATHROOM,P17,4542019477439472-BATHROOM.mp4,test
EAT,EAT2,P17,15451191030465905-EAT 2.mp4,test
WHO,WHO,P17,16927688445154376-WHO.mp4,test
UNDERSTAND,UNDERSTAND,P17,6605969835390502-UNDERSTAND.mp4,test
NAME,NAME,P17,721473614329061-NAME.mp4,test
PAIN,PAIN,P17,10719457796634213-PAIN.mp4,test
WHY,WHY,P17,15735328773357837-WHY.mp4,test
HELLO,HELLO,P17,1789715889624135-HELLO.mp4,test
THANKYOU,THANKYOU,P17,4624064779710624-THANK YOU.mp4,test
HOW,HOW1,P17,8436415241829844-HOW.mp4,test
BYE,BYE,P17,5631016440125773-BYE.mp4,test
STOP,STOP,P22,10938335699122836-STOP.mp4,test
WHAT,WHAT1,P22,404671863993352-WHAT 2.mp4,test
DEAF,DEAF2,P22,917307734866669-DEAF 2.mp4,test
HOW,HOW2,P22,1674169211464116-HOW 2.mp4,test
WHAT,WHAT1,P22,6718223980213671-WHAT 2.mp4,test
WHAT,WHAT2,P22,7577155904518054-WHAT 1.mp4,test
