source,label,participant,clip,total_frames,hand_frames,hand_rate,duration_s,flat_frac,centroid_z,flags,npz
aslcitizen,DRINK,P42,0018695357180107397-DRINK 2,59,18,0.305,1.97,0.0,-0.79,LOW_HAND_RATE,test__DRINK__P42__0018695357180107397-DRINK 2.npz
aslcitizen,DRINK,P9,40358209943047574-DRINK,108,33,0.306,3.6,0.0,-0.24,LOW_HAND_RATE,test__DRINK__P9__40358209943047574-DRINK.npz
aslcitizen,HURT,P48,024957790105810895-HURT,98,30,0.306,3.27,0.0,-0.66,LOW_HAND_RATE,test__HURT__P48__024957790105810895-HURT.npz
aslcitizen,DEAF,P11,733342809835573-DEAF 2,62,19,0.306,2.07,0.0,-0.46,LOW_HAND_RATE,train__DEAF__P11__733342809835573-DEAF 2.npz
aslcitizen,STOP,P21,4382853991304725-STOP,49,15,0.306,1.64,0.0,-0.14,LOW_HAND_RATE,val__STOP__P21__4382853991304725-STOP.npz
aslcitizen,WHY,P15,7308465390923164-WHY,101,31,0.307,3.37,0.0,-0.56,LOW_HAND_RATE,test__WHY__P15__7308465390923164-WHY.npz
aslcitizen,MORE,P33,7455948118093856-MORE,150,46,0.307,5.01,0.0,0.47,LOW_HAND_RATE,train__MORE__P33__7455948118093856-MORE.npz
aslcitizen,DEAF,P18,001849777902119376-DEAF 2,65,20,0.308,2.6,0.0,-0.68,LOW_HAND_RATE,test__DEAF__P18__001849777902119376-DEAF 2.npz
aslcitizen,HOW,P18,9123431516469718-HOW 2,65,20,0.308,2.6,0.0,-0.22,LOW_HAND_RATE,test__HOW__P18__9123431516469718-HOW 2.npz
aslcitizen,BATHROOM,P11,3206219042409797-BATHROOM,52,16,0.308,1.74,0.0,0.22,LOW_HAND_RATE,train__BATHROOM__P11__3206219042409797-BATHROOM.npz
aslcitizen,HUNGRY,P37,7518611049674775-HUNGRY,65,20,0.308,2.17,0.0,-0.86,LOW_HAND_RATE,train__HUNGRY__P37__7518611049674775-HUNGRY.npz
aslcitizen,HURT,P51,958666333331422-HURT,39,12,0.308,2.6,0.0,0.57,LOW_HAND_RATE,train__HURT__P51__958666333331422-HURT.npz
aslcitizen,HURT,P7,7487799802593937-HURT,78,24,0.308,2.6,0.0,-0.6,LOW_HAND_RATE,train__HURT__P7__7487799802593937-HURT.npz
aslcitizen,THANKYOU,P10,8487114823108493-THANK YOU,104,32,0.308,3.43,0.0,-0.39,LOW_HAND_RATE,train__THANKYOU__P10__8487114823108493-THANK YOU.npz
aslcitizen,DEAF,P15,21166353600430976-DEAF,94,29,0.309,3.13,0.0,-0.38,LOW_HAND_RATE,test__DEAF__P15__21166353600430976-DEAF.npz
aslcitizen,BYE,P33,374824970052654-BYE,165,51,0.309,5.5,0.0,0.07,LOW_HAND_RATE,train__BYE__P33__374824970052654-BYE.npz
aslcitizen,EAT,P14,5847293981432022-EAT,55,17,0.309,1.8,0.0,-0.89,LOW_HAND_RATE,train__EAT__P14__5847293981432022-EAT.npz
aslcitizen,HOW,P21,2274519559281516-HOW 2,55,17,0.309,1.84,0.0,-0.55,LOW_HAND_RATE,val__HOW__P21__2274519559281516-HOW 2.npz
aslcitizen,HURT,P33,8680091165143533-HURT,200,62,0.31,6.67,0.0,-1.0,LOW_HAND_RATE,train__HURT__P33__8680091165143533-HURT.npz
aslcitizen,NO,P51,9979731168048327-NO,58,18,0.31,1.93,0.0,-0.2,LOW_HAND_RATE,train__NO__P51__9979731168048327-NO.npz
aslcitizen,DEAF,P48,40546392089559546-DEAF 2,74,23,0.311,2.47,0.0,0.06,LOW_HAND_RATE,test__DEAF__P48__40546392089559546-DEAF 2.npz
aslcitizen,WAIT,P33,25762006967045403-WAIT,167,52,0.311,5.57,0.0,-0.78,LOW_HAND_RATE,train__WAIT__P33__25762006967045403-WAIT.npz
aslcitizen,WHO,P26,8040413047655517-WHO,61,19,0.311,2.0,0.0,-0.94,LOW_HAND_RATE,val__WHO__P26__8040413047655517-WHO.npz
aslcitizen,HELP,P18,531487732428322-HELP,80,25,0.312,3.2,0.0,-0.52,LOW_HAND_RATE,test__HELP__P18__531487732428322-HELP.npz
aslcitizen,DEAF,P29,42295410903451014-DEAF,269,84,0.312,8.97,0.0,-0.59,LOW_HAND_RATE,train__DEAF__P29__42295410903451014-DEAF.npz
wlasl,WAIT,WLASL_56,62097_12,93,29,0.312,3.1,0.0,-0.36,LOW_HAND_RATE,train__WAIT__WLASL_56__wlasl_62097_12.npz
aslcitizen,WHO,P51,14452193915198386-WHO,64,20,0.312,2.13,0.0,-0.65,LOW_HAND_RATE,train__WHO__P51__14452193915198386-WHO.npz
aslcitizen,WATER,P30,057571220614212715-WATER,67,21,0.313,2.23,0.0,-0.5,LOW_HAND_RATE,train__WATER__P30__057571220614212715-WATER.npz
aslcitizen,WATER,P18,7006268761752481-WATER,70,22,0.314,2.8,0.0,-0.34,LOW_HAND_RATE,test__WATER__P18__7006268761752481-WATER.npz
aslcitizen,THANKYOU,P33,39425766670939555-THANK YOU,153,48,0.314,5.13,0.0,2.0,LOW_HAND_RATE,train__THANKYOU__P33__39425766670939555-THANK YOU.npz
aslcitizen,HELLO,P18,7076961883712545-HELLO,54,17,0.315,2.16,0.0,0.04,LOW_HAND_RATE,test__HELLO__P18__7076961883712545-HELLO.npz
aslcitizen,HOW,P6,3976156540390696-HOW,54,17,0.315,1.8,0.0,-0.18,LOW_HAND_RATE,test__HOW__P6__3976156540390696-HOW.npz
aslcitizen,WHAT,P9,5754797022070959-WHAT 1,108,34,0.315,3.6,0.0,0.13,LOW_HAND_RATE,test__WHAT__P9__5754797022070959-WHAT 1.npz
aslcitizen,WHERE,P11,37418457822538387-WHERE,54,17,0.315,1.8,0.0,-0.62,LOW_HAND_RATE,train__WHERE__P11__37418457822538387-WHERE.npz
aslcitizen,BYE,P39,9710569622157019-BYE,127,40,0.315,4.23,0.0,0.52,LOW_HAND_RATE,val__BYE__P39__9710569622157019-BYE.npz
aslcitizen,NO,P39,4656606080155459-NO,124,39,0.315,4.14,0.0,-0.98,LOW_HAND_RATE,val__NO__P39__4656606080155459-NO.npz
aslcitizen,BATHROOM,P7,4262461376364133-BATHROOM,63,20,0.317,2.09,0.0,-0.58,LOW_HAND_RATE,train__BATHROOM__P7__4262461376364133-BATHROOM.npz
aslcitizen,INTERPRETER,P7,683566604486493-INTERPRETER,41,13,0.317,2.73,0.0,-0.19,LOW_HAND_RATE,train__INTERPRETER__P7__683566604486493-INTERPRETER.npz
aslcitizen,WATER,P27,47911865396339715-WATER,60,19,0.317,2.0,0.0,-0.28,LOW_HAND_RATE,train__WATER__P27__47911865396339715-WATER.npz
aslcitizen,DRINK,P15,5287232905909216-DRINK 2,170,54,0.318,5.67,0.0,-0.46,LOW_HAND_RATE,test__DRINK__P15__5287232905909216-DRINK 2.npz
aslcitizen,HUNGRY,P16,0036168932795541675-HUNGRY,66,21,0.318,2.2,0.0,0.03,LOW_HAND_RATE,train__HUNGRY__P16__0036168932795541675-HUNGRY.npz
aslcitizen,WATER,P29,6099837370552477-WATER,44,14,0.318,1.47,0.0,-0.46,LOW_HAND_RATE,train__WATER__P29__6099837370552477-WATER.npz
aslcitizen,WHAT,P11,3288526883034957-WHAT 1,44,14,0.318,1.47,0.0,-0.38,LOW_HAND_RATE,train__WHAT__P11__3288526883034957-WHAT 1.npz
aslcitizen,EAT,P29,6816148658875862-EAT 2,47,15,0.319,1.57,0.0,-0.77,LOW_HAND_RATE,train__EAT__P29__6816148658875862-EAT 2.npz
aslcitizen,NO,P33,7932042062420475-NO,150,48,0.32,5.0,0.0,-0.17,LOW_HAND_RATE,train__NO__P33__7932042062420475-NO.npz
aslcitizen,STOP,P33,6922819981617203-STOP,231,74,0.32,7.74,0.0,-0.57,LOW_HAND_RATE,train__STOP__P33__6922819981617203-STOP.npz
aslcitizen,HURT,P21,6440601854085655-HURT,75,24,0.32,2.51,0.0,0.42,LOW_HAND_RATE,val__HURT__P21__6440601854085655-HURT.npz
aslcitizen,MORE,P48,813443212118808-MORE,78,25,0.321,2.6,0.0,0.13,LOW_HAND_RATE,test__MORE__P48__813443212118808-MORE.npz
aslcitizen,INTERPRETER,P50,16545208268054457-INTERPRETER,78,25,0.321,2.6,0.25,-0.14,LOW_HAND_RATE,train__INTERPRETER__P50__16545208268054457-INTERPRETER.npz
aslcitizen,SICK,P11,6714893583747881-SICK,53,17,0.321,1.77,0.0,-0.53,LOW_HAND_RATE,train__SICK__P11__6714893583747881-SICK.npz
aslcitizen,STOP,P27,08870380386555654-STOP,53,17,0.321,1.77,0.0,-0.36,LOW_HAND_RATE,train__STOP__P27__08870380386555654-STOP.npz
aslcitizen,WHO,P47,1788921553709799-WHO,90,29,0.322,3.01,0.0,-0.76,LOW_HAND_RATE,test__WHO__P47__1788921553709799-WHO.npz
aslcitizen,WATER,P4,29650119146688847-WATER,90,29,0.322,3.0,0.0,0.69,LOW_HAND_RATE,train__WATER__P4__29650119146688847-WATER.npz
aslcitizen,NAME,P18,2650581877009257-NAME,62,20,0.323,2.48,0.0,-0.13,LOW_HAND_RATE,test__NAME__P18__2650581877009257-NAME.npz
aslcitizen,HELLO,P50,9008261925178431-HELLO,65,21,0.323,2.17,0.0,-0.88,LOW_HAND_RATE,train__HELLO__P50__9008261925178431-HELLO.npz
aslcitizen,THANKYOU,P51,6912280773625425-THANK YOU,62,20,0.323,2.07,0.0,0.22,LOW_HAND_RATE,train__THANKYOU__P51__6912280773625425-THANK YOU.npz
aslcitizen,EAT,P15,931858330051655-EAT 2,102,33,0.324,3.4,0.0,-0.85,LOW_HAND_RATE,test__EAT__P15__931858330051655-EAT 2.npz
aslcitizen,WAIT,P42,8220736980572507-WAIT,34,11,0.324,1.13,0.0,-0.3,LOW_HAND_RATE,test__WAIT__P42__8220736980572507-WAIT.npz
aslcitizen,UNDERSTAND,P42,40550375821025386-UNDERSTAND,40,13,0.325,1.29,0.0,-0.92,LOW_HAND_RATE,test__UNDERSTAND__P42__40550375821025386-UNDERSTAND.npz
aslcitizen,NO,P37,09714329486323847-NO,40,13,0.325,1.33,0.0,1.3,LOW_HAND_RATE,train__NO__P37__09714329486323847-NO.npz
aslcitizen,THANKYOU,P39,16870669316247833-THANK YOU,117,38,0.325,3.9,0.0,1.94,LOW_HAND_RATE,val__THANKYOU__P39__16870669316247833-THANK YOU.npz
aslcitizen,DRINK,P47,9812515328553977-DRINK,89,29,0.326,3.51,0.0,1.78,LOW_HAND_RATE,test__DRINK__P47__9812515328553977-DRINK.npz
aslcitizen,DRINK,P11,27973404455034934-DRINK 2,43,14,0.326,1.44,0.0,-0.14,LOW_HAND_RATE,train__DRINK__P11__27973404455034934-DRINK 2.npz
aslcitizen,HOW,P29,31724875643038497-HOW 2,43,14,0.326,1.43,0.0,-0.1,LOW_HAND_RATE,train__HOW__P29__31724875643038497-HOW 2.npz
aslcitizen,HOW,P45,021939327153324584-HOW,89,29,0.326,2.84,0.0,-0.87,LOW_HAND_RATE,train__HOW__P45__021939327153324584-HOW.npz
aslcitizen,EAT,P14,3000727886718244-EAT 2,52,17,0.327,1.7,0.0,-0.31,LOW_HAND_RATE,train__EAT__P14__3000727886718244-EAT 2.npz
aslcitizen,WATER,P5,7530258985595248-WATER,101,33,0.327,3.33,0.0,0.16,LOW_HAND_RATE,val__WATER__P5__7530258985595248-WATER.npz
aslcitizen,DEAF,P51,1672648144513147-DEAF,64,21,0.328,2.13,0.0,-0.39,LOW_HAND_RATE,train__DEAF__P51__1672648144513147-DEAF.npz
aslcitizen,BATHROOM,P39,3622050510913253-BATHROOM,137,45,0.328,4.57,0.0,-0.62,LOW_HAND_RATE,val__BATHROOM__P39__3622050510913253-BATHROOM.npz
aslcitizen,HOW,P42,028264130143242472-HOW,79,26,0.329,2.64,0.0,-0.43,LOW_HAND_RATE,test__HOW__P42__028264130143242472-HOW.npz
aslcitizen,WHAT,P16,8979365940146831-WHAT 1,76,25,0.329,2.53,0.0,-0.27,LOW_HAND_RATE,train__WHAT__P16__8979365940146831-WHAT 1.npz
aslcitizen,DRINK,P30,9757502559319415-DRINK,91,30,0.33,3.04,0.0,-0.43,LOW_HAND_RATE,train__DRINK__P30__9757502559319415-DRINK.npz
aslcitizen,THANKYOU,P2,021145910536055412-THANK YOU,88,29,0.33,2.93,0.0,-1.28,LOW_HAND_RATE,train__THANKYOU__P2__021145910536055412-THANK YOU.npz
aslcitizen,HOW,P52,8835516863640922-seedHOW,121,40,0.331,3.99,0.0,-0.52,LOW_HAND_RATE,train__HOW__P52__8835516863640922-seedHOW.npz
aslcitizen,YES,P39,42327270691916885-YES,118,39,0.331,3.93,0.0,-0.37,LOW_HAND_RATE,val__YES__P39__42327270691916885-YES.npz
aslcitizen,PAIN,P47,6005329882355028-PAIN,108,36,0.333,3.47,0.0,1.39,LOW_HAND_RATE,test__PAIN__P47__6005329882355028-PAIN.npz
aslcitizen,WHERE,P49,2868358953291379-WHERE,24,8,0.333,1.6,0.0,0.07,LOW_HAND_RATE,test__WHERE__P49__2868358953291379-WHERE.npz
aslcitizen,EAT,P29,7468673870660452-EAT,66,22,0.333,2.2,0.0,-0.98,LOW_HAND_RATE,train__EAT__P29__7468673870660452-EAT.npz
aslcitizen,EAT,P50,6012215303497841-EAT,81,27,0.333,2.7,0.0,-0.89,LOW_HAND_RATE,train__EAT__P50__6012215303497841-EAT.npz
aslcitizen,HELLO,P37,8486809407942575-HELLO,66,22,0.333,2.2,0.0,-0.9,LOW_HAND_RATE,train__HELLO__P37__8486809407942575-HELLO.npz
aslcitizen,MORE,P11,05959007956304285-MORE,54,18,0.333,1.81,0.0,-0.23,LOW_HAND_RATE,train__MORE__P11__05959007956304285-MORE.npz
aslcitizen,PLEASE,P7,31545854783740124-PLEASE,75,25,0.333,2.46,0.0,-0.66,LOW_HAND_RATE,train__PLEASE__P7__31545854783740124-PLEASE.npz
aslcitizen,WHY,P50,48459131285186974-WHY,60,20,0.333,2.0,0.0,-0.71,LOW_HAND_RATE,train__WHY__P50__48459131285186974-WHY.npz
aslcitizen,MORE,P21,009299695590603507-MORE,57,19,0.333,1.9,0.0,-0.46,LOW_HAND_RATE,val__MORE__P21__009299695590603507-MORE.npz
aslcitizen,PAIN,P29,11941328359061032-PAIN,224,75,0.335,7.47,0.0,-0.26,LOW_HAND_RATE,train__PAIN__P29__11941328359061032-PAIN.npz
aslcitizen,HELP,P15,3347819641252294-HELP,146,49,0.336,4.87,0.0,2.07,LOW_HAND_RATE,test__HELP__P15__3347819641252294-HELP.npz
aslcitizen,EAT,P47,25398273569443774-EAT,98,33,0.337,3.3,0.0,-0.95,LOW_HAND_RATE,test__EAT__P47__25398273569443774-EAT.npz
aslcitizen,SICK,P31,239829373517368-SICK,92,31,0.337,3.07,0.053,-0.42,LOW_HAND_RATE,train__SICK__P31__239829373517368-SICK.npz
aslcitizen,PAIN,P18,7706892251614081-PAIN,71,24,0.338,2.84,0.0,1.42,LOW_HAND_RATE,test__PAIN__P18__7706892251614081-PAIN.npz
aslcitizen,WAIT,P18,624921199330932-WAIT,50,17,0.34,3.3,0.0,-0.2,LOW_HAND_RATE,test__WAIT__P18__624921199330932-WAIT.npz
aslcitizen,WHAT,P11,8017117058905951-WHAT 2,47,16,0.34,1.57,0.0,-0.17,LOW_HAND_RATE,train__WHAT__P11__8017117058905951-WHAT 2.npz
aslcitizen,YES,P11,15498675309554577-YES,47,16,0.34,1.57,0.0,-0.3,LOW_HAND_RATE,train__YES__P11__15498675309554577-YES.npz
aslcitizen,YES,P29,15689453699180178-YES,47,16,0.34,1.57,0.0,0.03,LOW_HAND_RATE,train__YES__P29__15689453699180178-YES.npz
aslcitizen,HURT,P12,17739780073785405-HURT,50,17,0.34,1.67,0.0,-0.33,LOW_HAND_RATE,val__HURT__P12__17739780073785405-HURT.npz
aslcitizen,BATHROOM,P33,2047466313235069-BATHROOM,173,59,0.341,5.77,0.0,0.54,LOW_HAND_RATE,train__BATHROOM__P33__2047466313235069-BATHROOM.npz
aslcitizen,HUNGRY,P29,761313788407632-HUNGRY,44,15,0.341,1.47,0.0,-0.71,LOW_HAND_RATE,train__HUNGRY__P29__761313788407632-HUNGRY.npz
aslcitizen,NAME,P27,9851992475740963-NAME,91,31,0.341,3.03,0.0,-1.1,LOW_HAND_RATE,train__NAME__P27__9851992475740963-NAME.npz
aslcitizen,WAIT,P11,8270409786931296-WAIT,41,14,0.341,1.37,0.0,-0.5,LOW_HAND_RATE,train__WAIT__P11__8270409786931296-WAIT.npz
aslcitizen,HOW,P39,6271713081961889-HOW,126,43,0.341,4.2,0.0,0.13,LOW_HAND_RATE,val__HOW__P39__6271713081961889-HOW.npz
aslcitizen,WAIT,P5,19418271966399425-WAIT,88,30,0.341,2.93,0.0,-0.31,LOW_HAND_RATE,val__WAIT__P5__19418271966399425-WAIT.npz
aslcitizen,EAT,P31,6460191084812579-EAT,79,27,0.342,2.63,0.0,-1.03,LOW_HAND_RATE,train__EAT__P31__6460191084812579-EAT.npz
aslcitizen,HELP,P30,5574926687456125-HELP,76,26,0.342,2.53,0.0,-1.15,LOW_HAND_RATE,train__HELP__P30__5574926687456125-HELP.npz
aslcitizen,MORE,P51,7267227999834953-MORE,73,25,0.342,2.43,0.0,-0.62,LOW_HAND_RATE,train__MORE__P51__7267227999834953-MORE.npz
aslcitizen,WHAT,P30,8907945228853642-WHAT 2,114,39,0.342,3.8,0.0,0.87,LOW_HAND_RATE,train__WHAT__P30__8907945228853642-WHAT 2.npz
aslcitizen,WAIT,P26,6368510219023522-WAIT,76,26,0.342,2.5,0.062,1.26,LOW_HAND_RATE,val__WAIT__P26__6368510219023522-WAIT.npz
aslcitizen,UNDERSTAND,P9,5169212541197368-UNDERSTAND,90,31,0.344,3.01,0.0,-0.65,LOW_HAND_RATE,test__UNDERSTAND__P9__5169212541197368-UNDERSTAND.npz
aslcitizen,MORE,P50,48891811825038345-MORE,64,22,0.344,2.13,0.0,-0.31,LOW_HAND_RATE,train__MORE__P50__48891811825038345-MORE.npz
aslcitizen,UNDERSTAND,P50,4268222409175071-UNDERSTAND,61,21,0.344,2.03,0.0,-0.99,LOW_HAND_RATE,train__UNDERSTAND__P50__4268222409175071-UNDERSTAND.npz
aslcitizen,WHAT,P29,873585487906021-WHAT 1,224,77,0.344,7.47,0.0,-0.41,LOW_HAND_RATE,train__WHAT__P29__873585487906021-WHAT 1.npz
aslcitizen,WHAT,P50,5907336185978251-WHAT 2,64,22,0.344,2.13,0.0,-0.34,LOW_HAND_RATE,train__WHAT__P50__5907336185978251-WHAT 2.npz
aslcitizen,HOW,P18,9935032342175718-HOW,55,19,0.345,2.2,0.0,-0.15,LOW_HAND_RATE,test__HOW__P18__9935032342175718-HOW.npz
aslcitizen,DRINK,P21,36996117552353014-DRINK 2,55,19,0.345,1.83,0.0,-0.73,LOW_HAND_RATE,val__DRINK__P21__36996117552353014-DRINK 2.npz
aslcitizen,UNDERSTAND,P9,1376861841044581-UNDERSTAND,81,28,0.346,2.67,0.0,-0.07,LOW_HAND_RATE,test__UNDERSTAND__P9__1376861841044581-UNDERSTAND.npz
aslcitizen,EAT,P50,43234510854275543-EAT,107,37,0.346,3.57,0.0,2.93,LOW_HAND_RATE,train__EAT__P50__43234510854275543-EAT.npz
aslcitizen,NO,P52,2688720555507844-seedNO,104,36,0.346,3.43,0.0,-1.08,LOW_HAND_RATE,train__NO__P52__2688720555507844-seedNO.npz
aslcitizen,SORRY,P14,589235585874496-SORRY,78,27,0.346,2.6,0.0,-0.49,LOW_HAND_RATE,train__SORRY__P14__589235585874496-SORRY.npz
aslcitizen,HELLO,P21,20675411351630046-HELLO,52,18,0.346,1.74,0.0,-0.81,LOW_HAND_RATE,val__HELLO__P21__20675411351630046-HELLO.npz
aslcitizen,YES,P39,26056519285644875-YES,107,37,0.346,3.57,0.0,-0.27,LOW_HAND_RATE,val__YES__P39__26056519285644875-YES.npz
aslcitizen,DRINK,P39,6484470716683486-DRINK 2,121,42,0.347,4.03,0.0,-0.84,LOW_HAND_RATE,val__DRINK__P39__6484470716683486-DRINK 2.npz
aslcitizen,HELP,P48,9203747770494983-HELP,92,32,0.348,3.07,0.0,-0.18,LOW_HAND_RATE,test__HELP__P48__9203747770494983-HELP.npz
aslcitizen,HOW,P15,670019265660998-HOW,158,55,0.348,5.27,0.0,0.71,LOW_HAND_RATE,test__HOW__P15__670019265660998-HOW.npz
aslcitizen,MORE,P4,9858229995286099-MORE,92,32,0.348,3.08,0.0,-0.81,LOW_HAND_RATE,train__MORE__P4__9858229995286099-MORE.npz
aslcitizen,UNDERSTAND,P33,8604241021179426-UNDERSTAND,141,49,0.348,4.73,0.0,-0.29,LOW_HAND_RATE,train__UNDERSTAND__P33__8604241021179426-UNDERSTAND.npz
aslcitizen,YES,P24,9009854854743657-YES,66,23,0.348,2.2,0.0,-0.18,LOW_HAND_RATE,train__YES__P24__9009854854743657-YES.npz
aslcitizen,HELLO,P47,7027473793210652-HELLO,83,29,0.349,3.22,0.0,-0.32,LOW_HAND_RATE,test__HELLO__P47__7027473793210652-HELLO.npz
aslcitizen,HUNGRY,P47,8268071690304826-HUNGRY,106,37,0.349,4.27,0.0,-0.89,LOW_HAND_RATE,test__HUNGRY__P47__8268071690304826-HUNGRY.npz
aslcitizen,UNDERSTAND,P22,27832701315476815-UNDERSTAND,43,15,0.349,1.43,0.0,0.45,LOW_HAND_RATE,test__UNDERSTAND__P22__27832701315476815-UNDERSTAND.npz
aslcitizen,WHERE,P47,37275461912744046-WHERE,109,38,0.349,3.52,0.0,0.04,LOW_HAND_RATE,test__WHERE__P47__37275461912744046-WHERE.npz
aslcitizen,WHY,P17,15735328773357837-WHY,86,30,0.349,2.8,0.056,-0.15,LOW_HAND_RATE,test__WHY__P17__15735328773357837-WHY.npz
aslcitizen,DEAF,P33,942544967818546-DEAF,152,53,0.349,5.07,0.0,0.6,LOW_HAND_RATE,train__DEAF__P33__942544967818546-DEAF.npz
aslcitizen,DEAF,P50,6965626273607881-DEAF,63,22,0.349,2.1,0.0,-0.5,LOW_HAND_RATE,train__DEAF__P50__6965626273607881-DEAF.npz
aslcitizen,EAT,P51,37437679515669386-EAT 2,86,30,0.349,2.87,0.0,-0.77,LOW_HAND_RATE,train__EAT__P51__37437679515669386-EAT 2.npz
aslcitizen,STOP,P37,8893256597213444-STOP,86,30,0.349,2.87,0.0,-0.58,LOW_HAND_RATE,train__STOP__P37__8893256597213444-STOP.npz
aslcitizen,THANKYOU,P50,0912245735671211-THANK YOU,86,30,0.349,2.87,0.0,-0.97,LOW_HAND_RATE,train__THANKYOU__P50__0912245735671211-THANK YOU.npz
aslcitizen,WAIT,P50,15263395462454632-WAIT,83,29,0.349,2.77,0.0,-0.26,LOW_HAND_RATE,train__WAIT__P50__15263395462454632-WAIT.npz
aslcitizen,WHAT,P9,16203881271680576-WHAT 2,103,36,0.35,3.44,0.0,-0.2,LOW_HAND_RATE,test__WHAT__P9__16203881271680576-WHAT 2.npz
aslcitizen,BYE,P47,6225526845167895-BYE,74,26,0.351,3.12,0.0,-0.54,LOW_HAND_RATE,test__BYE__P47__6225526845167895-BYE.npz
aslcitizen,WATER,P42,9541613491243199-WATER,37,13,0.351,1.23,0.0,-0.53,LOW_HAND_RATE,test__WATER__P42__9541613491243199-WATER.npz
aslcitizen,DRINK,P33,18972692322051077-DRINK 2,171,60,0.351,5.7,0.0,-0.46,LOW_HAND_RATE,train__DRINK__P33__18972692322051077-DRINK 2.npz
aslcitizen,SICK,P7,7468545549250416-SICK,74,26,0.351,2.45,0.0,1.21,LOW_HAND_RATE,train__SICK__P7__7468545549250416-SICK.npz
aslcitizen,WATER,P14,03892908647294191-WATER,57,20,0.351,1.9,0.0,-0.5,LOW_HAND_RATE,train__WATER__P14__03892908647294191-WATER.npz
aslcitizen,UNDERSTAND,P47,3018334807491294-UNDERSTAND,88,31,0.352,2.86,0.0,-0.55,LOW_HAND_RATE,test__UNDERSTAND__P47__3018334807491294-UNDERSTAND.npz
aslcitizen,EAT,P47,8673550975339348-EAT 2,85,30,0.353,2.75,0.0,-0.29,LOW_HAND_RATE,test__EAT__P47__8673550975339348-EAT 2.npz
aslcitizen,UNDERSTAND,P27,030959011181703078-UNDERSTAND,51,18,0.353,1.7,0.0,0.59,LOW_HAND_RATE,train__UNDERSTAND__P27__030959011181703078-UNDERSTAND.npz
aslcitizen,DRINK,P18,35888089534387335-DRINK 2,65,23,0.354,2.6,0.0,-0.77,LOW_HAND_RATE,test__DRINK__P18__35888089534387335-DRINK 2.npz
aslcitizen,DRINK,P47,6756383681583675-DRINK 2,99,35,0.354,3.34,0.0,-0.82,LOW_HAND_RATE,test__DRINK__P47__6756383681583675-DRINK 2.npz
aslcitizen,DRINK,P27,5600935739224888-DRINK,48,17,0.354,1.6,0.0,-0.32,LOW_HAND_RATE,train__DRINK__P27__5600935739224888-DRINK.npz
aslcitizen,UNDERSTAND,P30,5190569218964376-UNDERSTAND,99,35,0.354,3.3,0.0,-0.78,LOW_HAND_RATE,train__UNDERSTAND__P30__5190569218964376-UNDERSTAND.npz
aslcitizen,WHAT,P40,011439809438488657-WHAT 2,79,28,0.354,2.64,0.0,-0.21,LOW_HAND_RATE,train__WHAT__P40__011439809438488657-WHAT 2.npz
aslcitizen,BATHROOM,P15,998805782836137-BATHROOM,124,44,0.355,4.13,0.0,-0.78,LOW_HAND_RATE,test__BATHROOM__P15__998805782836137-BATHROOM.npz
aslcitizen,HUNGRY,P15,3274086349316525-HUNGRY,107,38,0.355,3.57,0.0,-0.31,LOW_HAND_RATE,test__HUNGRY__P15__3274086349316525-HUNGRY.npz
aslcitizen,PAIN,P9,37134269046205026-PAIN,93,33,0.355,3.1,0.0,-1.12,LOW_HAND_RATE,test__PAIN__P9__37134269046205026-PAIN.npz
aslcitizen,THANKYOU,P29,5932207271660643-THANK YOU,211,75,0.355,7.03,0.0,0.45,LOW_HAND_RATE,train__THANKYOU__P29__5932207271660643-THANK YOU.npz
aslcitizen,WAIT,P39,5205785031120291-WAIT,110,39,0.355,3.67,0.0,2.97,LOW_HAND_RATE,val__WAIT__P39__5205785031120291-WAIT.npz
aslcitizen,NO,P15,7525332129995586-NO,90,32,0.356,3.0,0.0,-1.08,LOW_HAND_RATE,test__NO__P15__7525332129995586-NO.npz
aslcitizen,DRINK,P51,6196253651803971-DRINK,59,21,0.356,1.97,0.0,-0.78,LOW_HAND_RATE,train__DRINK__P51__6196253651803971-DRINK.npz
aslcitizen,HOW,P11,48582056242680793-HOW 2,45,16,0.356,1.5,0.0,-0.14,LOW_HAND_RATE,train__HOW__P11__48582056242680793-HOW 2.npz
aslcitizen,STOP,P11,21963390619756917-STOP,45,16,0.356,1.5,0.0,-0.73,LOW_HAND_RATE,train__STOP__P11__21963390619756917-STOP.npz
wlasl,STOP,WLASL_63,54922_2,90,32,0.356,3.0,0.0,-0.34,LOW_HAND_RATE,train__STOP__WLASL_63__wlasl_54922_2.npz
aslcitizen,WATER,P51,7276443456531434-WATER,132,47,0.356,4.4,0.0,0.67,LOW_HAND_RATE,train__WATER__P51__7276443456531434-WATER.npz
wlasl,WHAT,WLASL_42,62964_21,90,32,0.356,3.0,0.0,-0.24,LOW_HAND_RATE,train__WHAT__WLASL_42__wlasl_62964_21.npz
aslcitizen,HOW,P48,7290597714370646-HOW 2,70,25,0.357,2.33,0.0,-0.23,LOW_HAND_RATE,test__HOW__P48__7290597714370646-HOW 2.npz
aslcitizen,WHAT,P22,4880162825887451-WHAT 1,70,25,0.357,2.33,0.0,-0.43,LOW_HAND_RATE,test__WHAT__P22__4880162825887451-WHAT 1.npz
aslcitizen,HELLO,P15,7648996670040624-HELLO,81,29,0.358,2.7,0.0,-0.15,LOW_HAND_RATE,test__HELLO__P15__7648996670040624-HELLO.npz
